Date,Name,Year,Letterboxd URI
2022-04-15,The Seventh Seal,1957,https://boxd.it/2ahO
2022-04-15,8½,1963,https://boxd.it/2aqm
2022-04-15,A Separation,2011,https://boxd.it/gvo
2022-04-15,Life Is Beautiful,1997,https://boxd.it/29Wm
2022-04-15,The Great Dictator,1940,https://boxd.it/29ic
2022-04-15,The Big City,1963,https://boxd.it/fI2
2022-04-15,The Hunchback of Notre Dame,1996,https://boxd.it/1VZQ
2022-04-15,While We're Young,2014,https://boxd.it/7oOs
2022-04-15,A Most Violent Year,2014,https://boxd.it/75Va
2022-04-15,Crazy Rich Asians,2018,https://boxd.it/gfnK
2022-07-18,Adaptation.,2002,https://boxd.it/26mA
2022-07-22,"I, Tonya",2017,https://boxd.it/dzR0
2022-07-22,Halloween,1978,https://boxd.it/2wRu
2022-07-22,Yi Yi,2000,https://boxd.it/1vCw
2022-07-22,Scenes from a Marriage,1974,https://boxd.it/4kJC
2022-07-22,Irma Vep,1996,https://boxd.it/1vYs
2022-07-26,The Bridge on the River Kwai,1957,https://boxd.it/29wo
2022-08-25,"Synecdoche, New York",2008,https://boxd.it/23zw
2022-08-25,The Wolves,2019,https://boxd.it/lzA0
2022-09-09,The Whale,2022,https://boxd.it/tw4c
2022-11-03,Primer,2004,https://boxd.it/6YA
