Date,Name,Year,Letterboxd URI,Rating
2022-02-14,Iron Man 2,2010,https://boxd.it/1WZM,2
2022-02-14,Solo: A Star Wars Story,2018,https://boxd.it/bGWs,3
2022-02-14,CODA,2021,https://boxd.it/tbf4,4
2022-02-15,Her,2013,https://boxd.it/4O24,4.5
2022-02-17,The Worst Person in the World,2021,https://boxd.it/oyws,5
2022-02-20,Flee,2021,https://boxd.it/ponM,4.5
2022-02-22,Prayers for the Stolen,2021,https://boxd.it/oZhu,4.5
2022-02-28,Come and See,1985,https://boxd.it/1w9q,5
2022-02-28,Spencer,2021,https://boxd.it/qPMG,4
2022-03-02,Identifying Features,2020,https://boxd.it/oina,4.5
2022-03-05,Drive My Car,2021,https://boxd.it/sv94,5
2022-03-06,Licorice Pizza,2021,https://boxd.it/qTKY,4
2022-03-18,Pride & Prejudice,2005,https://boxd.it/24u8,2.5
2022-03-22,Ex Machina,2014,https://boxd.it/7T2k,5
2022-03-27,"Everything, Everything",2017,https://boxd.it/eKx8,1
2022-03-27,Children of Men,2006,https://boxd.it/1Y2i,5
2022-03-28,Midnight Mass,2021,https://boxd.it/wvVA,5
2022-04-01,After Yang,2021,https://boxd.it/lx5a,4.5
2022-04-01,The Windshield Wiper,2021,https://boxd.it/mbcq,5
2022-04-02,Up,2009,https://boxd.it/1OEc,5
2022-04-02,Klaus,2019,https://boxd.it/ipoi,5
2022-04-02,The Nightmare Before Christmas,1993,https://boxd.it/1YzQ,3
2022-04-02,Toy Story 2,1999,https://boxd.it/29qq,3
2022-04-02,Inside Out,2015,https://boxd.it/4KHC,3.5
2022-04-08,Chungking Express,1994,https://boxd.it/1UDa,4.5
2022-04-10,Casino Royale,2006,https://boxd.it/1alk,3
2022-04-11,The Death of Dick Long,2019,https://boxd.it/kIoA,2
2022-04-13,Army of Thieves,2021,https://boxd.it/tYai,2.5
2022-04-14,Shutter Island,2010,https://boxd.it/1U82,3.5
2022-04-15,Rear Window,1954,https://boxd.it/2a6Q,3.5
2022-04-15,The Martian,2015,https://boxd.it/8SeG,3.5
2022-04-15,Memento,2000,https://boxd.it/2bcK,4.5
2022-04-15,Léon: The Professional,1994,https://boxd.it/2b8S,3
2022-04-15,The Ballad of Buster Scruggs,2018,https://boxd.it/jB2q,3.5
2022-04-15,Tangled,2010,https://boxd.it/15gO,2.5
2022-04-15,The Lion King,1994,https://boxd.it/201Q,4
2022-04-15,Frozen,2013,https://boxd.it/3GNa,3
2022-04-15,Mulan,1998,https://boxd.it/1VFw,4
2022-04-15,Aladdin,1992,https://boxd.it/29yE,3.5
2022-04-15,Zootopia,2016,https://boxd.it/84xS,3
2022-04-15,Beauty and the Beast,1991,https://boxd.it/1XhG,3
2022-04-15,Moana,2016,https://boxd.it/8tfY,4
2022-04-15,The Little Mermaid,1989,https://boxd.it/1WYO,3.5
2022-04-15,Big Hero 6,2014,https://boxd.it/5rje,4.5
2022-04-15,Snow White and the Seven Dwarfs,1937,https://boxd.it/2arO,3
2022-04-15,Alice in Wonderland,1951,https://boxd.it/1Sz6,3
2022-04-15,Cinderella,1950,https://boxd.it/1Uki,3
2022-04-15,Peter Pan,1953,https://boxd.it/1VCC,3.5
2022-04-15,Room,2015,https://boxd.it/7T0y,3.5
2022-04-15,The Witch,2015,https://boxd.it/9X0m,3
2022-04-15,The Lobster,2015,https://boxd.it/7tnw,3.5
2022-04-15,Swiss Army Man,2016,https://boxd.it/bDG2,3.5
2022-04-15,20th Century Women,2016,https://boxd.it/bqU6,4
2022-04-15,Good Time,2017,https://boxd.it/fcFu,3.5
2022-04-15,It Comes at Night,2017,https://boxd.it/eLuk,3
2022-04-15,Minari,2020,https://boxd.it/mL9M,3.5
2022-04-15,First Cow,2019,https://boxd.it/krga,3.5
2022-04-15,The Green Knight,2021,https://boxd.it/kuy2,4.5
2022-04-15,Red Rocket,2021,https://boxd.it/sGpi,3.5
2022-04-15,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,4
2022-04-15,Star Wars,1977,https://boxd.it/72s,4.5
2022-04-15,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,2.5
2022-04-15,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,3
2022-04-15,The Empire Strikes Back,1980,https://boxd.it/27Vw,4.5
2022-04-15,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,3
2022-04-15,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,4
2022-04-15,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,4
2022-04-15,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,4
2022-04-15,Star Wars: The Rise of Skywalker,2019,https://boxd.it/5xlK,2.5
2022-04-15,Captain America: The First Avenger,2011,https://boxd.it/28b0,3
2022-04-15,Return of the Jedi,1983,https://boxd.it/27Vm,4
2022-04-15,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI,3
2022-04-15,Harry Potter and the Goblet of Fire,2005,https://boxd.it/29Qo,3.5
